"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
"Culture: Sam Mendes | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 04:21:02","http://web.archive.org/web/20130103042102/http://www.guardian.co.uk/culture/sam-mendes/rss","20130103042102","http://www.guardian.co.uk/culture/sam-mendes/rss" 
"Sport: Olympic Games 2012 | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 04:30:08","http://web.archive.org/web/20130103043008/http://www.guardian.co.uk/sport/olympics-2012/rss","20130103043008","http://www.guardian.co.uk/sport/olympics-2012/rss" 
"Education: Schools | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 07:34:26","http://web.archive.org/web/20130103073426/http://www.guardian.co.uk/education/schools/rss","20130103073426","http://www.guardian.co.uk/education/schools/rss" 
"Travel: Margate | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 09:11:19","http://web.archive.org/web/20130103091119/http://www.guardian.co.uk/travel/margate/rss","20130103091119","http://www.guardian.co.uk/travel/margate/rss" 
"Sport | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 11:06:58","http://web.archive.org/web/20130103110658/http://www.guardian.co.uk/theguardian/2012/dec/31/sport/rss","20130103110658","http://www.guardian.co.uk/theguardian/2012/dec/31/sport/rss" 
"Harry Venning | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-03 11:29:57","http://web.archive.org/web/20130103112957/http://www.guardian.co.uk/profile/harryvenning","20130103112957","http://www.guardian.co.uk/profile/harryvenning" 
"Society: Obesity | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 15:09:27","http://web.archive.org/web/20130103150927/http://www.guardian.co.uk/society/obesity/rss","20130103150927","http://www.guardian.co.uk/society/obesity/rss" 
"Education: Teaching | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 15:31:17","http://web.archive.org/web/20130103153117/http://www.guardian.co.uk/education/teaching/rss","20130103153117","http://www.guardian.co.uk/education/teaching/rss" 
"World news: Judaism | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 15:54:25","http://web.archive.org/web/20130103155425/http://www.guardian.co.uk/world/judaism/rss","20130103155425","http://www.guardian.co.uk/world/judaism/rss" 
"Society: Housing | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 15:55:38","http://web.archive.org/web/20130103155538/http://www.guardian.co.uk/society/housing/rss","20130103155538","http://www.guardian.co.uk/society/housing/rss" 
"Olympics & the media | Media | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-03 16:00:49","http://web.archive.org/web/20130103160049/http://www.guardian.co.uk/media/olympicsandthemedia","20130103160049","http://www.guardian.co.uk/media/olympicsandthemedia" 
"Education: Birkbeck, University of London | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 16:28:32","http://web.archive.org/web/20130103162832/http://www.guardian.co.uk/education/birkbeckuniversityoflondon/rss","20130103162832","http://www.guardian.co.uk/education/birkbeckuniversityoflondon/rss" 
"Society: Social housing | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 17:03:43","http://web.archive.org/web/20130103170343/http://www.guardian.co.uk/society/social-housing/rss","20130103170343","http://www.guardian.co.uk/society/social-housing/rss" 
"Letters | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-03 18:19:06","http://web.archive.org/web/20130103181906/http://www.guardian.co.uk/tone/letters?page=3","20130103181906","http://www.guardian.co.uk/tone/letters?page=3" 
"UK news + Letters | UK news | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-03 18:19:53","http://web.archive.org/web/20130103181953/http://www.guardian.co.uk/uk/uk+tone/letters","20130103181953","http://www.guardian.co.uk/uk/uk+tone/letters" 
"Sport + Letters | Sport | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-03 18:25:47","http://web.archive.org/web/20130103182547/http://www.guardian.co.uk/sport/sport+tone/letters","20130103182547","http://www.guardian.co.uk/sport/sport+tone/letters" 
"Sport: Mo Farah | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 18:40:32","http://web.archive.org/web/20130103184032/http://www.guardian.co.uk/sport/mo-farah/rss","20130103184032","http://www.guardian.co.uk/sport/mo-farah/rss" 
"Teacher Network | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 18:51:01","http://web.archive.org/web/20130103185101/http://www.guardian.co.uk/teacher-network/rss","20130103185101","http://www.guardian.co.uk/teacher-network/rss" 
"Education: English | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 20:55:31","http://web.archive.org/web/20130103205531/http://www.guardian.co.uk/education/english/rss","20130103205531","http://www.guardian.co.uk/education/english/rss" 
"Education: GCSEs | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-03 20:57:16","http://web.archive.org/web/20130103205716/http://www.guardian.co.uk/education/gcses/rss","20130103205716","http://www.guardian.co.uk/education/gcses/rss" 
